metric,unit,runtime,launcher,median,p95,stddev,overhead_vs_baseline
CPU (sysbench),events/s,stock,OCI bundle,"2,332","2,386",72.81,baseline
CPU (sysbench),events/s,proposed,OCI bundle,"2,346","2,388",55.92,-0.62%
CPU (sysbench),events/s,docker,Docker,"2,342","2,383",59.17,baseline
CPU (sysbench),events/s,gvisor,Docker,"2,282","2,359",65.56,+2.57%
Memory (sysbench),MiB/s,stock,OCI bundle,"6,105,132","6,241,565","88,736",baseline
Memory (sysbench),MiB/s,proposed,OCI bundle,"6,059,380","6,128,915","74,111",+0.75%
Memory (sysbench),MiB/s,docker,Docker,"6,360,881","6,473,053","116,844",baseline
Memory (sysbench),MiB/s,gvisor,Docker,"1,688,603","1,717,822","21,166",+73.45%
Network (iperf3 loopback),Gbit/s,stock,OCI bundle,55.20,57.50,2.32,baseline
Network (iperf3 loopback),Gbit/s,proposed,OCI bundle,55.85,57.45,2.65,-1.18%
Network (iperf3 loopback),Gbit/s,docker,Docker,55.65,57.45,2.29,baseline
Network (iperf3 loopback),Gbit/s,gvisor,Docker,38.50,42.38,2.57,+30.82%
Redis SET,req/s,stock,OCI bundle,"89,358","90,727","2,550",baseline
Redis SET,req/s,proposed,OCI bundle,"84,324","88,028","2,701",+5.63%
Redis SET,req/s,docker,Docker,"87,100","88,139","2,728",baseline
Redis SET,req/s,gvisor,Docker,"30,844","31,177",491.58,+64.59%
Redis GET,req/s,stock,OCI bundle,"89,542","90,707","2,587",baseline
Redis GET,req/s,proposed,OCI bundle,"84,587","87,993","2,738",+5.53%
Redis GET,req/s,docker,Docker,"87,176","88,464","2,668",baseline
Redis GET,req/s,gvisor,Docker,"30,762","31,074",494.27,+64.71%
